frequency,angle,length,velocity,thickness,pressure
4000,4.8,0.0254,71.3,0.000848633,134.928
400,15.6,0.1016,39.6,0.0528487,120.484
400,22.2,0.0254,39.6,0.0229028,123.416
200,15.4,0.0508,31.7,0.0289853,119.975
400,17.4,0.0254,55.5,0.0165706,115.461
2500,0,0.1016,55.5,0.00131983,133.04
3150,5.3,0.2286,71.3,0.0051942,123.12
4000,17.4,0.0254,31.7,0.0176631,121.996
2500,0,0.1524,39.6,0.00193287,126.863
1600,17.4,0.0254,31.7,0.0176631,126.846
1000,2,0.2286,39.6,0.00346574,129.147
2000,22.2,0.0254,39.6,0.0229028,121.256
1600,15.4,0.0508,31.7,0.0289853,121.485
800,8.9,0.1016,39.6,0.0124596,130.94
500,7.2,0.1524,39.6,0.00909175,132.658
250,9.9,0.1524,31.7,0.0252785,128.559
800,3,0.3048,55.5,0.00452492,129.949
1250,0,0.2286,55.5,0.00229336,127.91
630,12.7,0.0254,71.3,0.0121808,128.878
4000,0,0.2286,55.5,0.00229336,123.41
1250,4,0.2286,71.3,0.00400603,131.718
1600,0,0.3048,39.6,0.00310138,124.049
2000,12.3,0.1016,55.5,0.0368233,118.564
400,5.4,0.1524,55.5,0.00433288,126.807
1000,0,0.3048,55.5,0.00283081,126.966
1000,0,0.0508,31.7,0.000812164,126.78
315,7.3,0.2286,39.6,0.0123481,132.149
800,7.3,0.2286,31.7,0.0132672,123.209
630,8.4,0.0508,31.7,0.00580776,125.856
400,5.3,0.2286,39.6,0.00614329,131.221
8000,0,0.1016,71.3,0.00121072,125.465
6300,12.3,0.1016,31.7,0.0418756,107.267
5000,0,0.1524,31.7,0.00209405,122.397
1000,4,0.2286,71.3,0.00400603,131.708
315,7.2,0.1524,71.3,0.00752039,128.713
1600,0,0.2286,71.3,0.00214345,129.134
200,9.9,0.1524,39.6,0.0233328,127.315
800,19.7,0.0508,39.6,0.036484,119.174
1250,4.8,0.0254,39.6,0.000907475,125.026
5000,15.4,0.0508,55.5,0.0271925,117.11
2000,3.3,0.1016,71.3,0.00202822,134.034
400,0,0.3048,31.7,0.00331266,125.045
2500,17.4,0.0254,39.6,0.0172206,124.154
400,15.6,0.1016,71.3,0.0437259,134.058
6300,7.2,0.1524,39.6,0.00909175,112.688
400,8.4,0.0508,31.7,0.00580776,120.076
3150,17.4,0.0254,31.7,0.0176631,123.466
3150,9.5,0.0254,39.6,0.00449821,129.934
1250,7.3,0.2286,71.3,0.0104404,127.358
200,12.3,0.1016,31.7,0.0418756,124.987
1250,9.5,0.0254,31.7,0.00461377,131.446
1600,9.9,0.1524,71.3,0.0193001,121.789
10000,5.3,0.2286,71.3,0.0051942,111.35
1000,15.4,0.0508,55.5,0.0271925,130.4
12500,0,0.1016,55.5,0.00131983,119.91
3150,7.3,0.2286,39.6,0.0123481,114.309
3150,5.4,0.1524,39.6,0.00485029,119.137
800,2.7,0.1524,71.3,0.00243851,127.394
1600,6.7,0.1016,55.5,0.0052139,133.653
800,17.4,0.0254,71.3,0.016104,124.276
6300,8.9,0.1016,71.3,0.0103088,117.253
3150,6.7,0.1016,71.3,0.00478288,124.458
1250,9.5,0.0254,71.3,0.00420654,131.656
2000,4.2,0.0508,39.6,0.00152689,132.587
630,0,0.2286,39.6,0.00253511,128.705
4000,12.6,0.1524,39.6,0.0584113,104.5
10000,4.8,0.0254,39.6,0.000907475,126.066
4000,4,0.2286,39.6,0.00473801,119.159
500,3,0.3048,39.6,0.00495741,127.632
4000,11.2,0.0508,39.6,0.0150478,115.52
500,15.6,0.1016,71.3,0.0437259,130.638
10000,2,0.2286,71.3,0.00293031,113.086
1600,0,0.3048,55.5,0.00283081,126.986
6300,0,0.1524,55.5,0.00172668,123.303
6300,0,0.2286,39.6,0.00253511,117.465
315,19.7,0.0508,39.6,0.036484,129.864
5000,9.5,0.0254,31.7,0.00461377,124.426
4000,0,0.0508,39.6,0.000791822,135.308
2000,0,0.1524,71.3,0.0015988,128.647
5000,0,0.0254,55.5,0.00041229,135.803
800,4,0.2286,39.6,0.00473801,130.469
2500,15.4,0.0508,39.6,0.0282593,122.413
3150,5.4,0.1524,31.7,0.00525474,118.291
1000,4,0.3048,39.6,0.00579636,128.723
500,12.3,0.1016,71.3,0.0337792,140.158
2000,3,0.3048,55.5,0.00452492,123.069
2000,0,0.2286,55.5,0.00229336,126.54
250,5.3,0.2286,39.6,0.00614329,127.011
800,15.4,0.0508,39.6,0.0282593,128.423
315,4,0.2286,31.7,0.00509068,123.609
200,8.9,0.1016,39.6,0.0124596,133.42
315,7.2,0.1524,39.6,0.00909175,130.558
3150,19.7,0.0508,71.3,0.0341183,116.225
2500,9.9,0.1524,31.7,0.0252785,114.729
1250,7.3,0.2286,55.5,0.0111706,125.724
5000,9.9,0.1524,71.3,0.0193001,114.569
3150,15.4,0.0508,55.5,0.0271925,123.46
6300,0,0.0508,31.7,0.000812164,130.34
630,5.3,0.2286,71.3,0.0051942,131.8
2500,0,0.3048,71.3,0.00266337,125.571
5000,0,0.1016,39.6,0.00146332,126.021
2500,12.3,0.1016,55.5,0.0368233,117.054
630,6.7,0.1016,39.6,0.00578076,133.355
5000,9.9,0.1524,39.6,0.0233328,111.135
1250,7.3,0.2286,31.7,0.0132672,120.509
1000,8.4,0.0508,31.7,0.00580776,129.516
6300,9.5,0.0254,55.5,0.0043284,124.222
1600,0,0.1016,55.5,0.00131983,132.05
500,17.4,0.0254,39.6,0.0172206,117.514
16000,0,0.1524,71.3,0.0015988,113.297
1600,3,0.3048,39.6,0.00495741,122.782
1600,0,0.3048,71.3,0.00266337,127.591
10000,0,0.1524,71.3,0.0015988,120.247
1600,8.4,0.0508,55.5,0.00544854,133.032
630,4,0.2286,39.6,0.00473801,129.579
8000,0,0.0254,31.7,0.000439472,137.207
6300,4.8,0.0254,55.5,0.000873218,135.164
4000,12.6,0.1524,71.3,0.0483159,108.034
1600,12.6,0.1524,39.6,0.0584113,110.78
200,9.9,0.1524,71.3,0.0193001,134.319
3150,0,0.1524,55.5,0.00172668,127.753
3150,0,0.3048,39.6,0.00310138,120.319
3150,3.3,0.1016,71.3,0.00202822,132.114
12500,0,0.0254,31.7,0.000439472,128.977
10000,0,0.0508,55.5,0.00076193,127.636
5000,0,0.1524,55.5,0.00172668,125.203
5000,3,0.3048,55.5,0.00452492,117.309
6300,5.4,0.1524,55.5,0.00433288,117.287
4000,0,0.1016,55.5,0.00131983,129.5
400,12.3,0.1016,31.7,0.0418756,123.207
6300,2,0.2286,55.5,0.00313525,118.712
20000,4.8,0.0254,55.5,0.000873218,121.284
1600,12.3,0.1016,39.6,0.0408268,117.875
2000,17.4,0.0254,71.3,0.016104,126.826
6300,12.3,0.1016,55.5,0.0368233,110.124
1250,4,0.2286,31.7,0.00509068,128.119
4000,12.3,0.1016,39.6,0.0408268,110.905
8000,0,0.3048,71.3,0.00266337,117.151
3150,9.9,0.1524,55.5,0.0208438,115.085
200,17.4,0.0254,39.6,0.0172206,114.044
400,9.9,0.1524,39.6,0.0233328,128.345
500,11.2,0.0508,39.6,0.0150478,131.96
800,2,0.2286,71.3,0.00293031,128.216
2500,2,0.2286,39.6,0.00346574,121.397
3150,12.3,0.1016,55.5,0.0368233,116.914
5000,3,0.3048,71.3,0.00425727,118.134
10000,12.7,0.0254,39.6,0.0130253,116.017
315,19.7,0.0508,71.3,0.0341183,121.235
6300,12.6,0.1524,71.3,0.0483159,107.284
2000,1.5,0.3048,71.3,0.00336729,126.642
250,9.9,0.1524,55.5,0.0208438,133.235
200,0,0.3048,31.7,0.00331266,117.195
10000,0,0.3048,31.7,0.00331266,108.265
250,15.4,0.0508,39.6,0.0282593,122.893
1000,7.3,0.2286,39.6,0.0123481,122.539
1000,0,0.1524,71.3,0.0015988,127.307
315,9.9,0.1524,71.3,0.0193001,135.459
800,12.3,0.1016,55.5,0.0368233,125.114
6300,17.4,0.0254,71.3,0.016104,119.916
2000,4,0.2286,55.5,0.0042862,124.254
800,1.5,0.3048,71.3,0.00336729,127.122
400,11.2,0.0508,71.3,0.014072,129.281
500,0,0.2286,39.6,0.00253511,126.195
630,8.4,0.0508,39.6,0.00566229,126.045
1600,8.9,0.1016,71.3,0.0103088,128.763
3150,0,0.0508,71.3,0.000740478,135.07
8000,3.3,0.1016,55.5,0.002211,120.569
12500,0,0.0508,71.3,0.000740478,125.22
250,9.5,0.0254,39.6,0.00449821,116.924
2000,4,0.2286,71.3,0.00400603,126.218
1600,3.3,0.1016,31.7,0.00251435,133.402
1600,7.3,0.2286,31.7,0.0132672,119.039
10000,0,0.0254,71.3,0.000400682,130.787
1000,4,0.2286,55.5,0.0042862,132.134
630,0,0.3048,39.6,0.00310138,128.629
250,7.3,0.2286,39.6,0.0123481,131.889
1600,3,0.3048,55.5,0.00452492,124.439
500,12.3,0.1016,39.6,0.0408268,122.205
2500,9.5,0.0254,31.7,0.00461377,130.086
1000,12.3,0.1016,71.3,0.0337792,127.928
16000,4.8,0.0254,71.3,0.000848633,124.208
630,5.3,0.2286,39.6,0.00614329,132.011
630,9.5,0.0254,31.7,0.00461377,129.006
2500,0,0.0254,39.6,0.000428464,131.836
3150,7.3,0.2286,71.3,0.0104404,120.458
10000,0,0.0508,71.3,0.000740478,128.74
5000,0,0.2286,31.7,0.0027238,120.505
12500,0,0.2286,71.3,0.00214345,117.624
1000,6.7,0.1016,39.6,0.00578076,134.515
1000,0,0.1524,39.6,0.00193287,130.033
500,9.9,0.1524,71.3,0.0193001,131.279
1250,2.7,0.1524,71.3,0.00243851,130.144
2500,0,0.0254,55.5,0.00041229,130.073
250,7.2,0.1524,39.6,0.00909175,127.488
5000,7.2,0.1524,71.3,0.00752039,118.343
2000,7.3,0.2286,39.6,0.0123481,117.809
800,5.3,0.2286,39.6,0.00614329,129.491
630,5.4,0.1524,39.6,0.00485029,132.357
800,6.7,0.1016,39.6,0.00578076,134.625
1000,11.2,0.0508,39.6,0.0150478,132.43
1000,4,0.2286,31.7,0.00509068,129.869
2500,7.3,0.2286,31.7,0.0132672,114.709
10000,0,0.1524,39.6,0.00193287,115.413
2500,12.7,0.0254,39.6,0.0130253,129.027
10000,0,0.0508,31.7,0.000812164,122.45
2000,0,0.1016,71.3,0.00121072,132.095
3150,0,0.2286,55.5,0.00229336,125.16
1600,2.7,0.1524,71.3,0.00243851,130.644
400,2,0.2286,71.3,0.00293031,125.116
1000,3,0.3048,31.7,0.00529514,126.838
1600,2,0.2286,39.6,0.00346574,125.837
5000,5.3,0.2286,39.6,0.00614329,115.311
1000,3,0.3048,71.3,0.00425727,129.004
6300,2,0.2286,31.7,0.00372371,115.137
630,17.4,0.0254,31.7,0.0176631,136.886
1600,8.9,0.1016,39.6,0.0124596,123.82
16000,4,0.2286,71.3,0.00400603,112.768
3150,0,0.0254,31.7,0.000439472,135.227
500,9.9,0.1524,39.6,0.0233328,126.835
2500,17.4,0.0254,71.3,0.016104,126.746
400,3,0.3048,71.3,0.00425727,127.564
500,5.3,0.2286,39.6,0.00614329,132.251
8000,4.8,0.0254,55.5,0.000873218,132.184
1250,12.3,0.1016,31.7,0.0418756,118.767
8000,1.5,0.3048,39.6,0.00392107,112.251
6300,9.9,0.1524,39.6,0.0233328,109.885
5000,15.4,0.0508,31.7,0.0289853,112.355
250,4,0.3048,71.3,0.00497773,126.395
5000,0,0.1016,55.5,0.00131983,128.36
4000,19.7,0.0508,39.6,0.036484,108.684
3150,9.5,0.0254,71.3,0.00420654,136.166
1600,7.2,0.1524,71.3,0.00752039,130.893
6300,0,0.0508,55.5,0.00076193,132.796
1000,4.2,0.0508,39.6,0.00152689,125.647
800,0,0.0508,39.6,0.000791822,126.508
4000,3,0.3048,55.5,0.00452492,118.689
1000,3.3,0.1016,71.3,0.00202822,131.434
6300,4.2,0.0508,39.6,0.00152689,125.717
4000,8.9,0.1016,71.3,0.0103088,120.243
250,7.3,0.2286,31.7,0.0132672,130.089
1250,19.7,0.0508,39.6,0.036484,118.634
250,12.6,0.1524,71.3,0.0483159,129.744
630,3.3,0.1016,55.5,0.002211,126.599
250,11.2,0.0508,71.3,0.014072,127.101
800,0,0.3048,31.7,0.00331266,129.235
315,9.9,0.1524,39.6,0.0233328,128.595
1600,6.7,0.1016,39.6,0.00578076,127.375
1600,9.5,0.0254,71.3,0.00420654,133.756
315,9.5,0.0254,31.7,0.00461377,122.766
4000,0,0.1524,55.5,0.00172668,127.233
1000,15.6,0.1016,39.6,0.0528487,119.224
2000,15.6,0.1016,39.6,0.0528487,110.894
800,0,0.1524,55.5,0.00172668,126.713
250,7.3,0.2286,71.3,0.0104404,139.918
6300,4.8,0.0254,39.6,0.000907475,134.336
4000,3.3,0.1016,71.3,0.00202822,128.704
12500,4,0.3048,71.3,0.00497773,107.405
10000,12.7,0.0254,71.3,0.0121808,114.418
3150,4,0.3048,71.3,0.00497773,121.775
1000,19.7,0.0508,39.6,0.036484,118.904
800,12.3,0.1016,39.6,0.0408268,122.315
1250,3,0.3048,71.3,0.00425727,127.634
10000,1.5,0.3048,39.6,0.00392107,108.991
630,17.4,0.0254,71.3,0.016104,122.606
5000,12.3,0.1016,39.6,0.0408268,108.625
800,12.3,0.1016,71.3,0.0337792,127.318
6300,3,0.3048,71.3,0.00425727,116.134
315,12.3,0.1016,39.6,0.0408268,129.415
315,17.4,0.0254,39.6,0.0172206,115.144
3150,2.7,0.1524,71.3,0.00243851,127.054
1250,0,0.2286,39.6,0.00253511,129.395
5000,0,0.0254,71.3,0.000400682,136.837
2500,15.4,0.0508,55.5,0.0271925,125.63
5000,0,0.0508,39.6,0.000791822,134.308
250,0,0.3048,31.7,0.00331266,118.595
630,15.4,0.0508,39.6,0.0282593,127.443
3150,12.6,0.1524,71.3,0.0483159,113.334
10000,3.3,0.1016,71.3,0.00202822,116.694
3150,3.3,0.1016,39.6,0.00245138,128.401
630,2,0.2286,31.7,0.00372371,129.057
500,4,0.2286,55.5,0.0042862,127.314
800,0,0.1524,39.6,0.00193287,127.903
2500,0,0.2286,71.3,0.00214345,128.354
315,15.4,0.0508,31.7,0.0289853,122.845
1600,4.8,0.0254,55.5,0.000873218,121.474
10000,0,0.3048,71.3,0.00266337,115.391
1000,6.7,0.1016,55.5,0.0052139,137.233
3150,3,0.3048,31.7,0.00529514,118.108
800,22.2,0.0254,39.6,0.0229028,137.076
6300,3.3,0.1016,71.3,0.00202822,124.904
800,6.7,0.1016,55.5,0.0052139,135.953
2000,19.7,0.0508,39.6,0.036484,117.724
6300,3.3,0.1016,39.6,0.00245138,120.851
3150,8.4,0.0508,39.6,0.00566229,123.965
1250,8.4,0.0508,31.7,0.00580776,130.156
5000,5.4,0.1524,39.6,0.00485029,117.037
8000,2,0.2286,71.3,0.00293031,115.996
8000,5.3,0.2286,71.3,0.0051942,114.9
1250,4,0.3048,39.6,0.00579636,126.343
630,12.3,0.1016,31.7,0.0418756,119.287
4000,12.7,0.0254,39.6,0.0130253,126.537
10000,0,0.0508,39.6,0.000791822,125.998
630,19.7,0.0508,71.3,0.0341183,128.365
1600,4,0.2286,31.7,0.00509068,125.229
1250,17.4,0.0254,71.3,0.016104,126.356
2500,2,0.2286,31.7,0.00372371,121.407
4000,0,0.3048,71.3,0.00266337,123.061
3150,15.6,0.1016,39.6,0.0528487,109.254
315,12.3,0.1016,71.3,0.0337792,137.068
800,3,0.3048,71.3,0.00425727,129.494
630,19.7,0.0508,39.6,0.036484,120.324
6300,12.3,0.1016,71.3,0.0337792,113.958
800,15.4,0.0508,55.5,0.0271925,130.43
500,2,0.2286,71.3,0.00293031,126.486
5000,4.8,0.0254,39.6,0.000907475,135.426
2000,5.3,0.2286,39.6,0.00614329,117.911
1250,5.4,0.1524,55.5,0.00433288,130.777
315,22.2,0.0254,39.6,0.0229028,120.716
2000,0,0.0254,55.5,0.00041229,127.623
800,7.2,0.1524,71.3,0.00752039,136.023
8000,3.3,0.1016,71.3,0.00202822,121.234
630,7.2,0.1524,71.3,0.00752039,134.853
630,4,0.2286,55.5,0.0042862,129.964
1600,11.2,0.0508,39.6,0.0150478,126.54
3150,5.4,0.1524,71.3,0.00401199,123.311
1000,12.6,0.1524,39.6,0.0584113,114.67
4000,15.4,0.0508,39.6,0.0282593,118.113
20000,0,0.0254,55.5,0.00041229,121.933
2500,7.3,0.2286,71.3,0.0104404,122.088
6300,0,0.1524,31.7,0.00209405,119.737
500,3,0.3048,31.7,0.00529514,127.548
2000,12.7,0.0254,71.3,0.0121808,134.228
1000,0,0.1524,55.5,0.00172668,128.583
1000,0,0.1016,55.5,0.00131983,129.8
1000,0,0.1016,31.7,0.00150092,131.313
2000,0,0.3048,71.3,0.00266337,127.461
800,9.9,0.1524,39.6,0.0233328,126.345
400,0,0.3048,39.6,0.00310138,124.809
6300,9.9,0.1524,31.7,0.0252785,108.689
2000,4,0.2286,39.6,0.00473801,121.659
10000,0,0.2286,71.3,0.00214345,118.134
1600,9.5,0.0254,55.5,0.0043284,133.062
10000,4,0.2286,71.3,0.00400603,113.108
2500,17.4,0.0254,55.5,0.0165706,124.931
2500,8.4,0.0508,31.7,0.00580776,125.576
2500,2,0.2286,71.3,0.00293031,127.006
10000,0,0.1016,31.7,0.00150092,115.893
5000,12.6,0.1524,71.3,0.0483159,108.034
400,4,0.3048,71.3,0.00497773,129.575
6300,0,0.0254,39.6,0.000428464,136.826
200,19.7,0.0508,39.6,0.036484,125.974
6300,2,0.2286,39.6,0.00346574,116.417
315,4,0.3048,39.6,0.00579636,126.843
500,6.7,0.1016,39.6,0.00578076,130.955
1600,3,0.3048,71.3,0.00425727,126.514
2500,11.2,0.0508,71.3,0.014072,130.541
5000,2,0.2286,31.7,0.00372371,118.267
4000,19.7,0.0508,71.3,0.0341183,113.045
630,0,0.3048,55.5,0.00283081,127.696
1250,0,0.1016,39.6,0.00146332,132.271
3150,0,0.0508,31.7,0.000812164,135.49
3150,7.2,0.1524,39.6,0.00909175,111.818
630,9.9,0.1524,71.3,0.0193001,129.889
630,7.3,0.2286,55.5,0.0111706,130.934
315,0,0.2286,31.7,0.0027238,120.595
2000,5.4,0.1524,55.5,0.00433288,128.707
500,19.7,0.0508,71.3,0.0341183,126.995
6300,17.4,0.0254,55.5,0.0165706,114.861
500,8.4,0.0508,39.6,0.00566229,122.905
800,2,0.2286,31.7,0.00372371,130.307
1600,9.9,0.1524,31.7,0.0252785,117.119
630,3,0.3048,71.3,0.00425727,129.354
800,8.4,0.0508,31.7,0.00580776,128.246
2500,0,0.2286,39.6,0.00253511,125.025
1600,22.2,0.0254,71.3,0.0214178,131.817
1000,3.3,0.1016,55.5,0.002211,131.129
2500,2.7,0.1524,71.3,0.00243851,128.334
12500,1.5,0.3048,71.3,0.00336729,109.222
315,0,0.2286,55.5,0.00229336,119.54
1600,1.5,0.3048,71.3,0.00336729,126.632
2000,12.3,0.1016,31.7,0.0418756,110.447
500,0,0.1524,39.6,0.00193287,119.513
5000,7.3,0.2286,39.6,0.0123481,111.959
400,7.2,0.1524,71.3,0.00752039,130.123
1000,0,0.0508,71.3,0.000740478,129.45
1600,3.3,0.1016,55.5,0.002211,133.649
3150,0,0.2286,71.3,0.00214345,127.834
3150,15.4,0.0508,39.6,0.0282593,120.513
400,9.9,0.1524,31.7,0.0252785,128.939
1250,4,0.3048,71.3,0.00497773,129.395
1250,5.4,0.1524,71.3,0.00401199,134.111
2000,6.7,0.1016,39.6,0.00578076,122.235
10000,4.8,0.0254,55.5,0.000873218,126.944
1000,12.7,0.0254,39.6,0.0130253,130.947
8000,0,0.0254,39.6,0.000428464,135.866
3150,0,0.1016,71.3,0.00121072,131.955
2000,0,0.0508,31.7,0.000812164,133.01
5000,4.2,0.0508,71.3,0.00142788,132.828
630,8.4,0.0508,55.5,0.00544854,126.152
4000,1.5,0.3048,71.3,0.00336729,121.762
3150,15.6,0.1016,71.3,0.0437259,116.468
1600,0,0.0508,39.6,0.000791822,130.908
20000,4.8,0.0254,71.3,0.000848633,119.708
2500,4,0.3048,71.3,0.00497773,123.775
4000,3.3,0.1016,31.7,0.00251435,124.852
400,15.4,0.0508,39.6,0.0282593,125.353
6300,5.4,0.1524,71.3,0.00401199,116.411
1600,5.4,0.1524,55.5,0.00433288,130.567
1600,4.2,0.0508,71.3,0.00142788,124.318
1600,4,0.3048,71.3,0.00497773,126.645
2000,11.2,0.0508,71.3,0.014072,133.311
800,2,0.2286,55.5,0.00313525,128.492
800,0,0.1016,71.3,0.00121072,126.805
1600,9.9,0.1524,39.6,0.0233328,118.545
1000,12.3,0.1016,55.5,0.0368233,125.484
1250,8.4,0.0508,55.5,0.00544854,132.252
1600,5.3,0.2286,71.3,0.0051942,130.46
400,9.5,0.0254,39.6,0.00449821,121.154
2500,5.3,0.2286,71.3,0.0051942,123.74
5000,15.4,0.0508,39.6,0.0282593,114.453
8000,4.8,0.0254,71.3,0.000848633,131.518
20000,4,0.2286,71.3,0.00400603,109.638
315,3,0.3048,39.6,0.00495741,123.312
6300,12.7,0.0254,39.6,0.0130253,123.177
8000,0,0.0254,55.5,0.00041229,136.163
8000,0,0.0508,39.6,0.000791822,128.518
200,8.9,0.1016,71.3,0.0103088,133.503
200,9.9,0.1524,31.7,0.0252785,127.299
2000,0,0.0508,39.6,0.000791822,132.918
2500,9.5,0.0254,39.6,0.00449821,131.234
3150,0,0.2286,39.6,0.00253511,124.625
4000,4,0.2286,55.5,0.0042862,120.654
800,0,0.2286,55.5,0.00229336,127.53
6300,0,0.2286,71.3,0.00214345,122.044
10000,0,0.0254,31.7,0.000439472,134.227
6300,0,0.1016,71.3,0.00121072,129.395
500,8.4,0.0508,55.5,0.00544854,123.742
2000,7.2,0.1524,71.3,0.00752039,128.643
1250,4,0.2286,39.6,0.00473801,128.339
4000,8.4,0.0508,71.3,0.00529514,126.926
400,12.3,0.1016,71.3,0.0337792,139.428
8000,0,0.0508,71.3,0.000740478,130.89
500,9.5,0.0254,31.7,0.00461377,126.886
2500,7.2,0.1524,71.3,0.00752039,124.353
12500,4.8,0.0254,71.3,0.000848633,127.688
2000,8.4,0.0508,31.7,0.00580776,127.686
800,7.3,0.2286,71.3,0.0104404,130.748
400,15.4,0.0508,55.5,0.0271925,126.5
500,4,0.2286,39.6,0.00473801,127.039
2000,0,0.2286,31.7,0.0027238,123.455
2000,0,0.1524,39.6,0.00193287,129.633
3150,12.3,0.1016,31.7,0.0418756,110.307
4000,1.5,0.3048,39.6,0.00392107,117.741
10000,0,0.3048,39.6,0.00310138,112.139
800,22.2,0.0254,71.3,0.0214178,123.227
2000,9.5,0.0254,39.6,0.00449821,131.274
500,0,0.2286,31.7,0.0027238,126.675
315,4,0.2286,39.6,0.00473801,122.229
1250,5.4,0.1524,39.6,0.00485029,127.117
630,11.2,0.0508,71.3,0.014072,133.611
2000,7.2,0.1524,39.6,0.00909175,120.228
400,17.4,0.0254,71.3,0.016104,117.396
1000,2.7,0.1524,71.3,0.00243851,128.774
500,3,0.3048,55.5,0.00452492,128.179
800,0,0.1524,31.7,0.00209405,129.117
8000,0,0.0508,55.5,0.00076193,130.156
630,12.3,0.1016,71.3,0.0337792,135.368
1250,22.2,0.0254,39.6,0.0229028,126.446
2500,17.4,0.0254,31.7,0.0176631,124.166
10000,3,0.3048,55.5,0.00452492,112.169
3150,4,0.2286,31.7,0.00509068,120.229
1600,19.7,0.0508,39.6,0.036484,117.604
630,4.8,0.0254,31.7,0.000930789,120.078
1600,5.3,0.2286,39.6,0.00614329,123.081
2000,3,0.3048,31.7,0.00529514,120.088
4000,0,0.2286,39.6,0.00253511,123.465
1250,6.7,0.1016,71.3,0.00478288,137.658
2000,3.3,0.1016,31.7,0.00251435,131.642
5000,3,0.3048,31.7,0.00529514,113.858
1250,12.7,0.0254,39.6,0.0130253,130.777
1250,0,0.0508,31.7,0.000812164,129.27
